EventID,WorkGroup,AssetName,DownStart,DownEnd,Total Duration,Shift Scheduled Duration,Total Scheduled Duration,Reason,Code,ShiftNumber,ScheduleID,OEE
1729797,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:02,0:00:02,0:00:02,Falla 12. Scanner de Seguridad Interrumpido Durante el Ciclo,,1,59256,1
1729790,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:29,0:00:29,0:00:29,Falla26. Servo Soporte Derecho Altura Fallo,,1,59256,1
1729782,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:36,0:00:36,0:00:36,Falla35. Servo Pin Izquierdo Longitud Fallo,,1,59256,1
1729779,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:16,0:00:16,0:00:16,Falla 12. Scanner de Seguridad Interrumpido Durante el Ciclo,,1,59256,1
1729775,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:01,0:00:01,0:00:01,Falla35. Servo Pin Izquierdo Longitud Fallo,,1,59256,1
1729760,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:33,0:00:33,0:00:33,Falla 12. Scanner de Seguridad Interrumpido Durante el Ciclo,,1,59256,1
1729759,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:02,0:00:02,0:00:02,Falla 12. Scanner de Seguridad Interrumpido Durante el Ciclo,,1,59256,1
1729747,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:06,0:00:06,0:00:06,Falla 12. Scanner de Seguridad Interrumpido Durante el Ciclo,,1,59256,1
1729745,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:05,0:00:05,0:00:05,Falla 12. Scanner de Seguridad Interrumpido Durante el Ciclo,,3,59254,1
1729744,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:03,0:00:03,0:00:03,Falla 12. Scanner de Seguridad Interrumpido Durante el Ciclo,,3,59254,1
1729743,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:05,0:00:05,0:00:05,Falla 12. Scanner de Seguridad Interrumpido Durante el Ciclo,,3,59254,1
1729741,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:01:19,0:01:19,0:01:19,Ing - En Proceso: .,,3,59254,1
1729739,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:08:00,0:08:00,0:08:00,Ing - .,,3,59254,0.98
1729727,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:01,0:00:01,0:00:01,Falla 67:  Pin Izquierda Posn Aproximacion,,3,59254,1
1729723,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:03,0:00:03,0:00:03,Falla 67:  Pin Izquierda Posn Aproximacion,,3,59254,1
1729720,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:02,0:00:02,0:00:02,Falla 67:  Pin Izquierda Posn Aproximacion,,3,59254,1
1729715,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:02,0:00:02,0:00:02,Falla 12. Scanner de Seguridad Interrumpido Durante el Ciclo,,3,59254,1
1729712,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:05,0:00:05,0:00:05,Falla35. Servo Pin Izquierdo Longitud Fallo,,3,59254,1
1729709,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:08,0:00:08,0:00:08,Falla 67:  Pin Izquierda Posn Aproximacion,,3,59254,1
1729705,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:03,0:00:03,0:00:03,Falla 67:  Pin Izquierda Posn Aproximacion,,3,59254,1
1729703,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:07,0:00:07,0:00:07,Falla 67:  Pin Izquierda Posn Aproximacion,,3,59254,1
1729700,Ensamble 100D,Bench 100D,5/21/2024,5/21/2024,0:00:06,0:00:06,0:00:06,Falla 67:  Pin Izquierda Posn Aproximacion,,3,59254,1
