Department,Work Group,Asset Name,Total Count,Count,Rejects,Total Downtime,Fault Count,MTTR,MTBF,Total Uptime,Total Time,Total Breaks,Total Working Time,Production Goal,Production Rate,Planned Rate,Product,Productivity OEE,Availability OEE,Quality OEE,OEE,Shift Number,Start Date,End Date,ScheduleID
100D,Ensamble 100D,Bench 100D,0,0,0,600,0,0,0,0,600,0,0,157,0,15.7,0,0,0,1,0,1,1/3/2022,1/3/2022,25576
100D,Ensamble 100D,Bench 100D,0,0,0,539,0,0,0,0,539,0,0,0,0,0,0,0,0,1,0,2,1/3/2022,1/4/2022,31538
100D,Ensamble 100D,Bench 100D,0,0,0,600,0,0,0,0,600,0,0,157,0,15.7,0,0,0,1,0,1,1/4/2022,1/4/2022,25577
100D,Ensamble 100D,Bench 100D,0,0,0,539,0,0,0,0,539,0,0,0,0,0,0,0,0,1,0,2,1/4/2022,1/5/2022,31473
100D,Ensamble 100D,Bench 100D,0,0,0,600,0,0,0,0,600,0,0,157,0,15.7,0,0,0,1,0,1,1/5/2022,1/5/2022,25578
100D,Ensamble 100D,Bench 100D,0,0,0,539,0,0,0,0,539,0,0,0,0,0,0,0,0,1,0,2,1/5/2022,1/6/2022,31540
100D,Ensamble 100D,Bench 100D,49,49,0,390,20,19,30,210,600,0,210,157,14,15.7,0,0.89,0.35,1,0.3115,1,1/6/2022,1/6/2022,25579
100D,Ensamble 100D,Bench 100D,120,120,0,27,28,0,19,512,539,0,512,0,14.06,0,0,0,0.949907236,1,0,2,1/6/2022,1/7/2022,31541
100D,Ensamble 100D,Bench 100D,106,106,0,27,71,0,8,573,600,0,573,157,11.1,15.7,0,0.71,0.955,1,0.67805,1,1/7/2022,1/7/2022,25580
100D,Ensamble 100D,Bench 100D,59,59,0,345,40,8,13,194,539,0,194,0,18.25,0,0,0,0.359925788,1,0,2,1/7/2022,1/8/2022,31542
100D,Ensamble 100D,Bench 100D,105,105,0,62,68,0,8,538,600,0,538,157,11.71,15.7,0,0.75,0.896666667,1,0.6725,1,1/10/2022,1/10/2022,25583
100D,Ensamble 100D,Bench 100D,71,71,0,37,71,0,7,502,539,0,502,0,8.49,0,0,0,0.93135436,1,0,2,1/10/2022,1/11/2022,31543
100D,Ensamble 100D,Bench 100D,133,133,0,24,141,0,4,576,600,0,576,157,13.85,15.7,0,0.88,0.96,1,0.8448,1,1/11/2022,1/11/2022,25584
100D,Ensamble 100D,Bench 100D,21,21,0,5,16,0,33,534,539,0,534,0,2.36,0,0,0,0.990723562,1,0,2,1/11/2022,1/12/2022,31484
100D,Ensamble 100D,Bench 100D,102,102,0,55,70,0,8,545,600,0,545,157,11.23,15.7,0,0.72,0.908333333,1,0.654,1,1/12/2022,1/12/2022,31486
100D,Ensamble 100D,Bench 100D,28,28,0,1,16,0,33,538,539,0,538,0,3.12,0,0,0,0.998144712,1,0,2,1/12/2022,1/13/2022,31485
100D,Ensamble 100D,Bench 100D,121,121,0,66,51,1,11,534,600,0,534,157,13.6,15.7,0,0.87,0.89,1,0.7743,1,1/13/2022,1/13/2022,31488
100D,Ensamble 100D,Bench 100D,29,29,0,56,29,1,18,483,539,0,483,0,3.6,0,0,0,0.896103896,1,0,2,1/13/2022,1/14/2022,31487
100D,Ensamble 100D,Bench 100D,80,80,0,67,65,1,9,533,600,0,533,157,9.01,15.7,0,0.57,0.888333333,1,0.50635,1,1/14/2022,1/14/2022,31490
100D,Ensamble 100D,Bench 100D,19,19,0,65,61,1,8,474,539,0,474,0,2.41,0,0,0,0.879406308,1,0,2,1/14/2022,1/15/2022,31489
100D,Ensamble 100D,Bench 100D,29,29,0,8,43,0,13,592,600,0,592,157,2.94,15.7,0,0.19,0.986666667,1,0.187466667,1,1/17/2022,1/17/2022,25590
100D,Ensamble 100D,Bench 100D,89,89,0,46,89,0,6,493,539,0,493,0,10.83,0,0,0,0.914656772,1,0,2,1/17/2022,1/18/2022,31491
100D,Ensamble 100D,Bench 100D,7,7,0,51,39,1,15,549,600,0,549,157,0.77,15.7,0,0.05,0.915,1,0.04575,1,1/18/2022,1/18/2022,31493
100D,Ensamble 100D,Bench 100D,105,105,0,106,55,1,9,433,539,0,433,0,14.55,0,0,0,0.803339518,1,0,2,1/18/2022,1/19/2022,31492
100D,Ensamble 100D,Bench 100D,39,39,0,399,27,14,22,201,600,0,201,157,11.64,15.7,0,0.74,0.335,1,0.2479,1,1/19/2022,1/19/2022,31495
100D,Ensamble 100D,Bench 100D,10,10,0,57,16,3,33,482,539,0,482,0,1.24,0,0,0,0.894248609,1,0,2,1/19/2022,1/20/2022,31494
100D,Ensamble 100D,Bench 100D,49,49,0,30,53,0,11,570,600,0,570,157,5.16,15.7,0,0.33,0.95,1,0.3135,1,1/20/2022,1/20/2022,31497
100D,Ensamble 100D,Bench 100D,100,100,0,37,110,0,4,502,539,0,502,148,11.95,16.47,0,0.73,0.93135436,1,0.679888683,2,1/20/2022,1/21/2022,31496
100D,Ensamble 100D,Bench 100D,61,61,0,32,76,0,7,568,600,0,568,157,6.44,15.7,0,0.41,0.946666667,1,0.388133333,1,1/21/2022,1/21/2022,31545
100D,Ensamble 100D,Bench 100D,42,42,0,12,36,0,14,527,539,0,527,0,4.78,0,0,0,0.977736549,1,0,2,1/21/2022,1/22/2022,31544
100D,Ensamble 100D,Bench 100D,89,89,0,106,132,0,4,494,600,0,494,157,10.81,15.7,0,0.69,0.823333333,1,0.5681,1,1/24/2022,1/24/2022,25597
100D,Ensamble 100D,Bench 100D,32,32,0,7,22,0,24,532,539,0,532,0,3.61,0,0,0,0.987012987,1,0,2,1/24/2022,1/25/2022,31498
100D,Ensamble 100D,Bench 100D,133,133,0,18,104,0,5,582,600,0,582,157,13.71,15.7,0,0.87,0.97,1,0.8439,1,1/25/2022,1/25/2022,25598
100D,Ensamble 100D,Bench 100D,40,40,0,67,22,3,24,472,539,0,472,0,5.08,0,0,0,0.875695733,1,0,2,1/25/2022,1/26/2022,31499
100D,Ensamble 100D,Bench 100D,139,139,0,48,110,0,5,552,600,0,552,157,15.11,15.7,0,0.96,0.92,1,0.8832,1,1/26/2022,1/26/2022,25599
